Title,Sample Code,Type,ID,Provider,Tags,License
ANUSPLIN Gridded Climate Dataset Monthly,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/ANUSPLIN-GRID,image_collection,projects/climate-engine-pro/assets/ce-anusplin-monthly, Agriculture and Agri-Food Canada,"climate, reanalysis, near real-time, ECMWF, precipitation, temperature",Open Government Licence - Canada
Applied Climate Information System (ACIS) NRCC NN Daily,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/NOAA-NRCC-ACIS,image_collection,projects/climate-engine-pro/assets/noaa-nrcc-acis-nn/daily,NOAA,"climate, precipitation, temperature, NOAA, reanalysis, CONUS, daily, near real-time",custom
Aqualink ocean subsurface temperature subset,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:oceans-shorelines/AQUALINK-SUBSET-2020,table,projects/sat-io/open-datasets/open-ocean/aqualink_bottom_temp_2020,aqualink org,"aqualink, buoy, temperature, sea surface temperature, sst, wave, oceans, bleaching, coral reefs, extreme-sea-level",MIT License
Aqualink ocean surface temperature subset,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:oceans-shorelines/AQUALINK-SUBSET-2020,table,projects/sat-io/open-datasets/open-ocean/aqualink_top_temp_2020,aqualink org,"aqualink, buoy, temperature, sea surface temperature, sst, wave, oceans, bleaching, coral reefs, extreme-sea-level",MIT License
Areas of global conservation value : biodiv,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity/minshort_speciestargets_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodiv_biome,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity/minshort_speciestargets_biome_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodiv_pa,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity/minshort_speciestargetswithPA_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodiv_pa_biome,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity/minshort_speciestargets_biome_withPA_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivcarbon,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-carbon/minshort_speciestargets_carbon_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivcarbon_biome,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-carbon/minshort_speciestargets_biome_carbon_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivcarbon_pa,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-carbon/minshort_speciestargetswithPA_carbon_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivcarbon_pa_biome,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-carbon/minshort_speciestargets_biome_withPA_carbon_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivcarbonwater,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-carbon-water/minshort_speciestargets_carbon_water_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivcarbonwater_biome,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-carbon-water/minshort_speciestargets_biome_carbon_water_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivcarbonwater_pa,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-carbon-water/minshort_speciestargetswithPA_carbon_water_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivcarbonwater_pa_biome,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-carbon-water/minshort_speciestargets_biome_withPA_carbon_water_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivwater,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-water/minshort_speciestargets_water_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivwater_biome,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-water/minshort_speciestargets_biome_water_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivwater_pa,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-water/minshort_speciestargetswithPA_water_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Areas of global conservation value : biodivwater_pa_biome,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/GLOBAL-CONSERVATION-IMP-BIODIV-CARBON-WATER,image,projects/sat-io/open-datasets/naturemap/biodiversity-water/minshort_speciestargets_biome_withPA_water_esh10km_repruns10_ranked,IIASA,"biodiversity, conservation importance, priorities, carbon, water",Creative Commons Attribution Share Alike 4.0 International
Argo Float Data(Subset),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:oceans-shorelines/ARGOFLOAT-SUBSET,table,projects/sat-io/open-datasets/argo-subset,"International Argo Program, Global Data Assembly Centre","float, Argo, global ocean observing system, ocean circulation, in-situ, ocean pressure, sea water salinity, sea water temperature, multi-year, weather climate and seasonal observation, global-ocean",Creative Commons Zero v1.0 Universal
Aspect (ASP) LF v2.2.0,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/LANDFIRE-TOPOGRAPHIC,image_collection,projects/sat-io/open-datasets/landfire/topographic/ASP,"U.S. Department of Agriculture's (USDA) U.S. Forest Service (USFS), U.S. Department of the Interior's Geological Survey (USGS), and The Nature Conservancy","doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",custom
ASTER Global Digital Elevation Model (GDEM) v3,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:elevation-bathymetry/ASTER-GDEM,image,projects/sat-io/open-datasets/ASTER/GDEM,"NASA, METI, AIST, Japan Spacesystems and U.S./Japan ASTER Science Team","ASTER, DEM, elevation, remote sensing",custom
ASTER Global Water Bodies Database (ASTWBD) Version 1,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:elevation-bathymetry/ASTWBD,image,projects/sat-io/open-datasets/ASTER/ASTWBD_ATT,"NASA, METI, AIST, Japan Spacesystems and U.S./Japan ASTER Science Team","ASTER, DEM, elevation, remote sensing, Water Bodies Database",custom
Available water content- wcavail,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:soil-properties/HiHYDRO-SOIL-LAYERS,image_collection,projects/sat-io/open-datasets/HiHydroSoilv2_0/wcavail,Future Water,"Global Hydrologic Soil Group, Hydrology, Hydrological, Soil, Hydraulic, Conductivity, Runoff, Run-off, Water, Water Cycle",custom
Bare Surface Frequency 1980-2019,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/BARE_EARTH_SPECTRA,image,users/geocis/BareSurfaces/BF_1980_2019,"Demattê, José AM, et al, Geotechnologies in Soil Science Group","Bare Earth Surface, Soil, Geomorphology, Landsat, Bare Surface Frequency",Creative Commons Attribution 4.0 International
Bare Surface Layer 1980-2019,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/BARE_EARTH_SPECTRA,image,users/geocis/BareSurfaces/BS_1980_2019,"Demattê, José AM, et al, Geotechnologies in Soil Science Group","Bare Earth Surface, Soil, Geomorphology, Landsat, Bare Surface Frequency",Creative Commons Attribution 4.0 International
Barren- Global Consensus Landcover,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:biodiversity-ecosystems-habitat/GLOBAL-CONSENSUS-LANDCOVER,image,projects/sat-io/open-datasets/global_consensus_landcover/barren,"Domisch, S., Amatulli, G., and Jetz, W.","Barren, EarthEnv, Global Consensus Landcover",Creative Commons Attribution Non Commercial Share Alike 4.0 International
Barren Lands Sparse Vegetation- Global Freshwater Variables,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:biodiversity-ecosystems-habitat/GLOBAL-FRESHWATER-VARIABLES,image,projects/sat-io/open-datasets/global_freshwater_variables/barren_lands_sparse_vegetation_avg,"Domisch, S., Amatulli, G., and Jetz, W.","Barren Lands Sparse Vegetation, EarthEnv, global freshwater",Creative Commons Attribution Non Commercial Share Alike 4.0 International
Biodiversity Intactness Index (BII),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:/biodiversity-ecosystems-habitat/BIODIVERSITY-INTACTNESS-INDEX,image_collection,projects/ebx-data/assets/earthblox/IO/BIOINTACT,"Impact Observatory,Vizzuality,Earth Blox","Biodiversity, Ecology, Human Pressures, Gridded data",Creative Commons Attribution 4.0 International
Brazilian Daily  Weather  Gridded  Data (BR-DWGD): ET,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/BR-DWDG-EXAMPLE,image_collection,projects/sat-io/open-datasets/BR-DWGD/ET,"Xavier, A. C. et al","Brazil, maximum temperature, minimum temperature, precipitation, solar radiation, wind speed, relative humidity, evapotranspiration",Creative Commons Attribution 4.0 International
Brazilian Daily  Weather  Gridded  Data (BR-DWGD): PR,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/BR-DWDG-EXAMPLE,image_collection,projects/sat-io/open-datasets/BR-DWGD/PR,"Xavier, A. C. et al","Brazil, maximum temperature, minimum temperature, precipitation, solar radiation, wind speed, relative humidity, evapotranspiration",Creative Commons Attribution 4.0 International
Brazilian Daily  Weather  Gridded  Data (BR-DWGD): Rain Gauges,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/BR-DWDG-EXAMPLE,table,projects/sat-io/open-datasets/BR-DWGD/RAIN_GAUGES,"Xavier, A. C. et al","Brazil, maximum temperature, minimum temperature, precipitation, solar radiation, wind speed, relative humidity, evapotranspiration",Creative Commons Attribution 4.0 International
Brazilian Daily  Weather  Gridded  Data (BR-DWGD): RH,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/BR-DWDG-EXAMPLE,image_collection,projects/sat-io/open-datasets/BR-DWGD/RH,"Xavier, A. C. et al","Brazil, maximum temperature, minimum temperature, precipitation, solar radiation, wind speed, relative humidity, evapotranspiration",Creative Commons Attribution 4.0 International
Brazilian Daily  Weather  Gridded  Data (BR-DWGD): RS,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/BR-DWDG-EXAMPLE,image_collection,projects/sat-io/open-datasets/BR-DWGD/RS,"Xavier, A. C. et al","Brazil, maximum temperature, minimum temperature, precipitation, solar radiation, wind speed, relative humidity, evapotranspiration",Creative Commons Attribution 4.0 International
Brazilian Daily  Weather  Gridded  Data (BR-DWGD): TMAX,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/BR-DWDG-EXAMPLE,image_collection,projects/sat-io/open-datasets/BR-DWGD/TMAX,"Xavier, A. C. et al","Brazil, maximum temperature, minimum temperature, precipitation, solar radiation, wind speed, relative humidity, evapotranspiration",Creative Commons Attribution 4.0 International
Brazilian Daily  Weather  Gridded  Data (BR-DWGD): TMIN,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/BR-DWDG-EXAMPLE,image_collection,projects/sat-io/open-datasets/BR-DWGD/TMIN,"Xavier, A. C. et al","Brazil, maximum temperature, minimum temperature, precipitation, solar radiation, wind speed, relative humidity, evapotranspiration",Creative Commons Attribution 4.0 International
Brazilian Daily  Weather  Gridded  Data (BR-DWGD): U2,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/BR-DWDG-EXAMPLE,image_collection,projects/sat-io/open-datasets/BR-DWGD/U2,"Xavier, A. C. et al","Brazil, maximum temperature, minimum temperature, precipitation, solar radiation, wind speed, relative humidity, evapotranspiration",Creative Commons Attribution 4.0 International
Brazilian Daily  Weather  Gridded  Data (BR-DWGD): Weather Stations,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/BR-DWDG-EXAMPLE,table,projects/sat-io/open-datasets/BR-DWGD/WEATHER_STATIONS,"Xavier, A. C. et al","Brazil, maximum temperature, minimum temperature, precipitation, solar radiation, wind speed, relative humidity, evapotranspiration",Creative Commons Attribution 4.0 International
Bulk density of the fine earth fraction,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:soil-properties/ISRIC-SOIL-GRID-250,image,projects/soilgrids-isric/bdod_mean,International Soil Reference and Information Centre (ISRIC),"Global Soilgrid, bulk density, ISRIC",Creative Commons Attribution 4.0 International
Busia Cropland Binary,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/NASA-HARVEST-CROPLAND,image,projects/sat-io/open-datasets/nasa-harvest/busia_cropland_binary,"Tseng, Gabriel, Hannah Kerner, Catherine Nakalembe, and Inbal Becker-Reshef","agriculture, Africa, Busia, crops, crop classification, food security, satellite data, Earth observation, GIS",Creative Commons Attribution Share Alike 4.0 International
Busia Cropland Probability,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/NASA-HARVEST-CROPLAND,image,projects/sat-io/open-datasets/nasa-harvest/busia_cropland_probability,"Tseng, Gabriel, Hannah Kerner, Catherine Nakalembe, and Inbal Becker-Reshef","agriculture, Africa, Busia, crops, crop classification, food security, satellite data, Earth observation, GIS",Creative Commons Attribution Share Alike 4.0 International
Canada Forest Age 2019,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/CA-FOREST-AGE-2019,image,projects/sat-io/open-datasets/CA_FOREST/CA_forest_age_2019,Maltman et al. (2023),"Forest age, Forest inventory, Land cover, Landsat, Time since disturbance",Open Government Licence - Canada
Canada Forest Age 2019 Approach,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/CA-FOREST-AGE-2019,image,projects/sat-io/open-datasets/CA_FOREST/CA_forest_age_2019_approach,Maltman et al. (2023),"Forest age, Forest inventory, Land cover, Landsat, Time since disturbance",Open Government Licence - Canada
Canada Landsat derived FAO forest identification (2019),https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/CA-FAO-FOREST-IDENTIFICATION-2019,image,projects/sat-io/open-datasets/CA_FOREST/CA_FAO_forest_2019,Wulder et al. (2020),"Forest area, temporally informed forest area, disturbance informed forest area, Forest inventory, Land cover, Landsat",Open Government Licence - Canada
Canada Landsat Derived Forest harvest disturbance 1985-2020,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/CA-FOREST-HARVEST-1985-2020,image,projects/sat-io/open-datasets/CA_FOREST/CA_Forest_Harvest_1985-2020,Hermosilla et al. 2016,"Forest Harvest, Forest inventory, Land cover, Landsat, Machine learning",Open Government Licence - Canada
Canada Landsat Derived Wildfire disturbance 1985-2020,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:fire-monitoring-analysis/CA-FOREST-FIRE-1985-2020,image,projects/sat-io/open-datasets/CA_FOREST/CA_Forest_Fire_1985-2020,Hermosilla et al. 2016,"Forest Fire, Forest inventory, Land cover, Landsat, Machine learning",Open Government Licence - Canada
Canada Landsat Derived Wildfire disturbance Magnitude 1985-2020,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:fire-monitoring-analysis/CA-FOREST-FIRE-MAGNITUDE-1985-2020,image,projects/sat-io/open-datasets/CA_FOREST/CA_Forest_Wildfire_dNBR_1985_2020,Hermosilla et al. 2016,"Forest Fire, Forest inventory, Land cover, Landsat, Machine learning",Open Government Licence - Canada
Canadian Drought Outlook,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:weather-climate/CANADA-DROUGHT-OUTLOOK,image_collection,projects/climate-engine-pro/assets/ce-aafc-cdo-monthly, Agriculture and Agri-Food Canada,"drought, Canada, forecast, AAFC",Open Government Licence - Canada
Canadian Forest Fire Danger Rating System 2022 (CFFDRS) LF v2.2.0,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/LANDFIRE-FUEL,image_collection,projects/sat-io/open-datasets/landfire/fuel/CFFDRS,"U.S. Department of Agriculture's (USDA) U.S. Forest Service (USFS), U.S. Department of the Interior's Geological Survey (USGS), and The Nature Conservancy","doi, fire, landfire, nature-conservancy, usda, usgs, vegetation, wildfire",custom
Canopy height: forested ecosystems of Canada GEDI,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/CA-TREE-CANOPY-HEIGHT-GEDI,image,projects/sat-io/open-datasets/CA_FOREST/GEDI_forest_canopy_height_250m_v1,"Sothe,Camile, et al. 2022","LiDAR analysis, ICESat-2, GEDI, canopy height distribution, Carbon storage and distribution",Creative Commons Attribution 4.0 International
Canopy height: forested ecosystems of Canada ICESat-2,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:agriculture-vegetation-forestry/CA-TREE-CANOPY-HEIGHT-ICESAT,image,projects/sat-io/open-datasets/CA_FOREST/ICESat2_forest_canopy_height_250m_v1,"Sothe,Camile, et al. 2022","LiDAR analysis, ICESat-2, GEDI, canopy height distribution, Carbon storage and distribution",Creative Commons Attribution 4.0 International
Carbon in Earth’s ecosystems: Ecosystem Extent,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GLOBAL-IRRECOVERABLE-CARBON,image_collection,projects/sat-io/open-datasets/ecosystem_extent,Noon et al,"irrecoverable carbon, vulnerable carbon, manageable carbon, global map, ecosystem",Creative Commons Attribution 4.0 International
Carbon in Earth’s ecosystems: Irrecoverable biomass,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GLOBAL-IRRECOVERABLE-CARBON,image_collection,projects/sat-io/open-datasets/irrecoverable_carbon/carbon_biomass,Noon et al,"irrecoverable carbon, vulnerable carbon, manageable carbon, global map, ecosystem",Creative Commons Attribution 4.0 International
Carbon in Earth’s ecosystems: Irrecoverable soil,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GLOBAL-IRRECOVERABLE-CARBON,image_collection,projects/sat-io/open-datasets/irrecoverable_carbon/carbon_soil,Noon et al,"irrecoverable carbon, vulnerable carbon, manageable carbon, global map, ecosystem",Creative Commons Attribution 4.0 International
Carbon in Earth’s ecosystems: Irrecoverable total,https://code.earthengine.google.com/?scriptPath=users/sat-io/awesome-gee-catalog-examples:geophysical-biological-biogeochemical/GLOBAL-IRRECOVERABLE-CARBON,image_collection,projects/sat-io/open-datasets/irrecoverable_carbon/carbon_total,Noon et al,"irrecoverable carbon, vulnerable carbon, manageable carbon, global map, ecosystem",Creative Commons Attribution 4.0 International
